西暦,1月,2月,3月,4月,5月,6月,7月,8月,9月,10月,11月,12月
1987,353.3,354.1,354.9,356.6,354.8,349.7,346.0,345.7,344.9,350.1,352.9,354.7
1988,356.1,357.0,357.7,358.7,358.1,351.8,347.3,348.7,348.6,354.3,356.7,357.3
1989,358.4,359.6,359.6,360.6,360.4,354.5,350.5,348.2,351.5,355.0,357.8,358.6
1990,360.1,360.8,362.0,361.8,360.1,354.3,350.7,350.6,351.9,355.1,358.3,359.0
1991,361.2,362.2,363.5,363.7,362.4,356.4,352.4,351.3,351.5,356.6,359.1,361.3
1992,362.0,363.3,363.5,364.8,364.3,355.9,348.8,351.5,351.9,357.3,359.7,361.9
1993,362.0,363.3,364.2,365.1,364.1,359.0,352.7,351.6,352.4,358.4,360.1,362.3
1994,364.2,364.1,365.5,367.5,365.9,358.9,356.7,356.6,355.9,359.9,363.9,365.0
1995,366.2,366.3,366.8,367.7,366.8,363.1,361.8,354.8,357.7,363.6,365.7,366.8
1996,367.7,369.0,369.6,369.7,369.6,364.8,361.2,356.6,357.8,363.9,366.6,368.2
1997,368.4,369.9,370.9,371.5,369.8,365.6,363.6,355.8,360.1,366.9,368.0,369.2
1998,370.5,371.4,372.5,373.7,371.8,369.0,364.9,362.7,364.0,369.5,372.4,373.2
1999,374.4,375.1,375.4,375.6,375.6,367.3,368.4,365.2,364.0,369.8,373.0,373.9
2000,374.0,375.9,377.0,378.1,375.5,369.6,369.9,365.0,367.4,371.6,374.5,376.3
2001,376.6,378.1,379.1,379.1,377.2,370.6,366.7,363.8,367.8,372.4,375.8,376.8
2002,378.4,380.4,380.6,380.9,378.3,371.7,371.9,368.9,369.4,376.2,377.9,379.1
2003,380.6,381.8,382.7,384.6,383.2,377.7,372.3,370.3,373.0,378.5,380.5,382.6
2004,383.1,385.2,385.5,385.9,385.6,378.8,374.8,370.4,374.1,378.5,382.4,383.7
2005,385.1,385.3,387.2,388.3,386.7,381.7,374.9,375.5,377.3,380.9,384.8,386.1
2006,387.7,388.6,389.5,390.4,390.4,384.9,377.8,378.9,379.1,384.2,387.3,388.6
2007,389.1,390.7,391.6,391.5,390.4,385.7,378.3,379.1,381.9,384.9,389.0,390.2
2008,391.1,392.5,394.2,394.7,392.1,388.3,381.3,377.8,382.5,387.6,390.3,392.4
2009,392.8,394.0,394.4,395.8,393.4,388.4,385.1,380.0,382.4,389.2,391.6,393.5
2010,394.4,395.9,396.9,397.1,397.9,391.0,392.7,387.0,387.8,392.3,395.3,397.1
2011,397.3,399.5,399.6,,398.6,394.0,388.3,385.7,389.0,393.4,397.1,398.3
2012,399.3,400.2,401.5,402.4,400.5,394.5,392.8,389.9,391.3,396.5,399.6,401.1
2013,401.7,403.9,404.3,405.1,403.1,397.9,391.7,392.7,392.9,398.3,402.9,403.1
2014,405.5,405.8,406.5,407.3,405.6,400.0,392.9,391.4,393.3,400.7,403.1,405.9
2015,406.5,406.8,408.9,409.1,407.3,401.5,396.5,394.3,395.9,403.2,405.2,408.0
2016,409.7,410.8,412.1,412.3,410.1,404.2,399.6,400.7,401.3,407.3,409.7,412.2
2017,413.1,413.1,414.6,415.8,414.4,407.1,400.8,398.9,401.4,408.7,412.7,414.1
2018,415.2,416.1,417.1,417.7,416.1,410.4,406.3,401.7,404.9,411.8,414.4,415.5
2019,416.7,418.2,419.7,419.2,417.8,410.8,406.4,406.4,407.4,412.7,416.6,419.3
2020,419.0,420.9,420.8,421.5,420.0,411.9,407.7,409.9,409.8,415.7,420.0,421.4
2021,422.2,424.4,424.3,424.6,423.8,416.9,414.1,410.5,411.1,419.5,421.6,424.3
2022,424.9,425.6,427.8,427.3,425.1,420.3,418.8,410.1,413.9,419.6,424.3,424.8
2023,427.3,428.3,429.1,429.0,427.1,421.3,419.5,420.4,418.8,423.4,427.5,428.2
2024,429.3,430.3,431.1,432.5,429.3,425.3,423.4,421.6,422.5,427.4,430.4,431.5
